FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  320.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:06;;320;;21056;549;1.8;1588;422;1.3;8371;384;3.8;3968;396;0.3;290310;715;4.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  325.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:07;;325;;23048;553;0.8;1954;426;1.4;7841;386;4.6;4966;399;0.5;346169;753;4.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  330.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:08;;330;;25284;557;1;2057;427;1.3;8019;387;3.8;5095;400;0.9;367979;765;4.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  335.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:09;;335;;20629;549;0.9;1321;422;1;7430;383;4.8;4973;397;0.4;324737;737;3.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  340.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:10;;340;;19901;549;1.3;1590;424;2.3;7699;386;3.4;6440;402;1;310638;730;3.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  345.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:11;;345;;20296;547;0.9;2220;424;1.1;7225;385;4.1;7107;402;0.3;302282;723;3.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  350.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:12;;350;;19541;540;1.3;1920;417;1;7246;379;4.3;5093;392;0.4;264101;692;3.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  355.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:13;;355;;18697;540;0.9;2119;418;1.3;7613;378;4;4483;391;0.4;264082;692;3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  360.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 13:14;;360;;24061;555;1.2;1686;424;1.2;8450;384;5.3;5085;398;0.5;295485;718;4.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  365.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 13:15;;365;;25336;558;1.1;1878;427;1.6;7385;386;4.6;5258;400;0.6;323199;739;3.8
