FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  255.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 13:20;;255;;6493;193;2.7;123555;423;2;-2823;246;7;15902;298;17.6;13084;813;6;10522;440;15.9;3618908;1892;40.3;233134;1137;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  260.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 13:21;;260;;7098;194;3.8;128644;430;2.7;-2250;247;4.7;16801;299;17.5;11944;805;5.5;10189;441;14.7;3685880;1908;39.8;230045;1132;9.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  265.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 13:22;;265;;7223;194;2.7;136601;439;2;-1832;242;3.6;16831;298;19.9;12854;803;7.3;12802;444;18.7;3541947;1873;40.8;234235;1132;9.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  270.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;56;11.04.17 13:23;;270;;7182;200;2.5;136180;444;1.8;-2847;262;6;15079;305;22.1;12476;820;6.4;9610;455;17.6;4302101;2052;41.6;235181;1152;8.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  275.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;56;11.04.17 13:24;;275;;6504;200;3.6;129156;435;2.3;-2770;263;5;14532;303;20.4;10924;822;6.6;9286;453;16.8;4360871;2064;43.3;237498;1156;10.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  280.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:25;;280;;8335;199;1.9;140939;446;1.5;-2256;248;5;19279;304;19;11560;803;7.9;21506;464;20.9;3764720;1928;41.4;231469;1136;12.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  285.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:26;;285;;7348;200;1.7;131811;436;1.8;-2878;253;8.4;16351;302;16.2;11740;812;6.5;14338;459;21.8;4023128;1989;41.6;230013;1143;11.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  290.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:27;;290;;6010;195;4;122387;424;2.1;-2810;252;5.8;15338;299;20.9;11578;819;5.5;6909;441;16.1;3878162;1954;43.4;233134;1148;7.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  295.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:28;;295;;6586;194;1.8;132687;435;1.5;-2144;248;5.3;17010;300;18.5;11526;803;4.6;11581;448;19.4;3777200;1930;42.1;227753;1131;7.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  300.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:29;;300;;7282;198;3.3;133604;438;1.1;-2691;253;4.5;17704;302;20;10237;802;6.8;12560;452;18.3;3966208;1975;42;226005;1133;11.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  305.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:31;;305;;6353;196;3;120939;422;1.9;-2886;256;6.2;17616;303;21.5;10295;802;5.9;5983;439;15.7;4088917;2002;43.3;220716;1124;7.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  310.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;56;11.04.17 13:32;;310;;6740;199;2;124932;429;3.9;-2832;261;6.7;20171;311;19.5;10479;814;6;7876;447;12;4328598;2056;46.3;231607;1144;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  315.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:33;;315;;6368;195;1.4;117593;418;1.6;-2794;257;6.5;16238;302;18.8;11723;817;7.7;5788;443;12.8;4131934;2012;46.1;228145;1142;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  320.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 13:34;;320;;6099;191;2.1;118942;417;1.8;-2250;247;4.2;14210;294;19.2;13455;827;7.2;5420;432;12.2;3704404;1912;41.8;240491;1157;11.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  325.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:35;;325;;6791;197;1.6;127434;430;1.7;-2630;253;5.2;16577;303;17.4;13253;838;7.5;6827;440;12.8;3971576;1975;42.3;248344;1175;12.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  330.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:36;;330;;6579;198;2.4;132959;438;2.1;-2296;255;6.4;17654;304;18;11182;826;5.1;6994;441;18.2;4059257;1995;42.4;243843;1161;8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  335.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:37;;335;;6986;201;1.9;150827;461;2.3;-2923;258;5.4;17285;308;23.2;12457;818;7.5;8880;448;15.5;4137324;2013;42.9;244148;1157;12
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  340.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:38;;340;;7022;199;3.5;136316;444;2.3;-2786;260;6;16825;306;18.7;11527;819;7.2;8725;449;15.6;4169013;2021;43;234759;1152;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  345.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;56;11.04.17 13:39;;345;;7252;201;2.1;139962;449;3.1;-2707;262;5.4;17364;307;19;12920;818;7;8779;451;15.7;4332985;2057;42.4;233753;1152;10.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  350.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:40;;350;;7075;198;3.1;140404;447;2.9;-2580;253;4.5;18028;304;16;13415;808;6.8;9931;444;15.5;3967405;1974;42.7;231527;1138;11.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  355.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:42;;355;;7231;201;2.7;144387;453;1.7;-2907;256;5.3;21880;310;16.7;13321;793;7.3;13747;452;15.2;4071837;1998;41.4;217611;1118;9.9
